blocknumber,timestamp,poolid,liquidityprovider,token1,tokenout,token1delta,token2delta,protocolfeetoken1,protocolfeetoken2
15605576,1664050967,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x6aef48eA854Bc0e805232ceCbab2fab592037c19,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,14211557651727594003465,200079105,0,0
15605880,1664054627,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xB188b1CB84Fb0bA13cb9ee1292769F903A9feC59,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,158731950,39962352900738832470,0
15610606,1664111543,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x311Cb5b8C61aC1d160E3D21a0390d9C1Fa64688E,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,23006084315555459368705,500000000,18216996101503260605,0
15620038,1664225507,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5e92e51672787504A5f0B085CB6D069faE640520,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,208631012938287944309393,1862000000,1378626892782531072,0
15637691,1664438675,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xCc6d20D299275eF6b9969C030BA7308e9162F427,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,7757837226035156755243,86698129,162696459629878047093,0
15641127,1664480207,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x238643d4106c7c6206f8Dc31acb59Cd24C979D12,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,-153291512,11808796060889737302,0
15648830,1664573183,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5e4568C4D8343052a06EC8AAB1e124AF08B73248,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,2786262306203504448383,0,4413238998157202739,0
15659207,1664698607,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5C89C420A9E82Ea9AEDBaAab03302e39982919b9,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,12998057310679694536643,87161100,57254795942566201886,0
15667145,1664794307,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x3E4c8F25D1198CCb1CCA579C6AAB790D3a28704d,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100000000000000000000,0,40000007123099834796,0
15668977,1664816399,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5e92e51672787504A5f0B085CB6D069faE640520,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,47500000000000000000000,350000000,0,0
15669374,1664821247,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xAAb2670EC34A393F4F13C63469068a82A1210d64,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,47836233029866738914394,675840070,232614385917097074102,0
15669519,1664822999,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xAAb2670EC34A393F4F13C63469068a82A1210d64,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,88864468348264042165169,1362956449,260366134802344093785,0
15673587,1664872151,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x311Cb5b8C61aC1d160E3D21a0390d9C1Fa64688E,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,31057297322938432710380,557451294,326605866533920041952,0
15687780,1665043787,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x6937936DB9baa313f8d487792e84AAA93B0c5B20,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,169813864982758401142817,2393821897,94375806599390965198,0
15688410,1665051419,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xB1f881f47baB744E7283851bC090bAA626df931d,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,-509857608,0,0
15694480,1665124655,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x311Cb5b8C61aC1d160E3D21a0390d9C1Fa64688E,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,11438582069826460902211,157416701,51284046211967813098,0
15705794,1665261287,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xB188b1CB84Fb0bA13cb9ee1292769F903A9feC59,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,4408078024,25710094385731827404,0
15709764,1665309143,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5C89C420A9E82Ea9AEDBaAab03302e39982919b9,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,-2081677175,94545830091405742205,0
15711524,1665330407,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5263749CED53f0cB9cE8C9ec3a62E0683daB2772,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,122340528838260284111850,500000000,5987865137742,0
15720444,1665438011,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x04e8e5aA372D8e2233D2EF26079e23E3309003D5,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,64585714706373392483203,891006749,0,0
15737563,1665644387,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x311Cb5b8C61aC1d160E3D21a0390d9C1Fa64688E,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,23287827448486905525788,321651498,27566588958245425873,0
15743716,1665718715,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xAAb2670EC34A393F4F13C63469068a82A1210d64,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,-138553370852010289977241,-1934794082,22385241314044761185,0
15748156,1665772319,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5e4568C4D8343052a06EC8AAB1e124AF08B73248,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,800291124767190843565,0,948615005819562294366,0
15770892,1666046699,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5e92e51672787504A5f0B085CB6D069faE640520,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,32849681022170368991445,284000000,149400498549368901158,0
15771364,1666052375,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xB188b1CB84Fb0bA13cb9ee1292769F903A9feC59,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,66042268,0,0
15791778,1666298675,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xB188b1CB84Fb0bA13cb9ee1292769F903A9feC59,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,1908854412,658643598457538646772,0
